Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2011-06-20,"Running (jogging), 10 mph (6 min mile)",Cardio,275.0,15,,,,,
2011-06-20,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-06-21,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,367.0,40,,,,,
2011-06-23,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,367.0,40,,,,,
2011-06-23,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-06-24,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,367.0,40,,,,,
2011-06-24,"Running (jogging), 7 mph (8.5 min mile)",Cardio,252.0,20,,,,,
2011-06-24,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-06-25,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-06-26,"Music playing, piano, organ, violin, trumpet",Cardio,206.0,90,,,,,
2011-06-26,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-06-26,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-06-27,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,137.0,40,,,,,
2011-06-28,"Running (jogging), 7 mph (8.5 min mile)",Cardio,252.0,20,,,,,
2011-06-28,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,137.0,40,,,,,
2011-06-29,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,367.0,40,,,,,
2011-06-30,"Running (jogging), 10 mph (6 min mile)",Cardio,275.0,15,,,,,
2011-06-30,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,137.0,40,,,,,
2011-07-01,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,367.0,40,,,,,
2011-07-05,"Running (jogging), 7 mph (8.5 min mile)",Cardio,252.0,20,,,,,
2011-07-05,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,137.0,40,,,,,
2011-08-30,"Walking, 3.5 mph, brisk pace",Cardio,101.0,30,,,,,
2011-09-01,"Running (jogging), 7 mph (8.5 min mile)",Cardio,249.0,20,,,,,
2011-09-01,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,135.0,40,,,,,
