Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2018-04-26,Dinner,578.8,12.4,7.2,1.0,2.7,0.2,0.0,711.2,903.8,63.3,9.0,25.8,55.9,1.0,52.0,18.6,5.7,
2018-04-26,Snacks,648.0,19.9,6.4,0.4,0.3,0.0,0.0,407.8,493.0,101.0,9.2,27.8,20.9,1.0,9.0,14.4,3.2,
2018-04-27,Breakfast,410.0,24.2,8.5,0.5,2.3,0.0,0.0,146.3,345.0,35.3,4.9,14.4,11.9,101.0,1668.0,13.4,2.2,
2018-04-27,Lunch,666.0,32.5,9.9,0.3,2.3,0.0,0.0,169.4,643.2,58.2,6.6,21.5,40.4,10.4,120.6,2.8,3.1,
2018-04-27,Dinner,414.9,10.8,2.2,1.5,5.3,0.0,85.0,86.4,570.4,39.9,4.6,7.1,38.5,5.2,34.8,2.7,8.2,
2018-04-27,Snacks,614.0,20.5,7.0,0.4,0.3,0.0,330.0,667.6,465.0,64.8,3.7,12.8,30.0,8.0,1.0,17.4,10.2,
2018-05-08,Breakfast,436.0,16.5,2.8,0.4,0.1,0.0,0.0,131.5,345.0,56.1,5.9,33.3,16.2,0.0,1668.0,33.4,2.2,
2018-05-08,Lunch,418.6,17.4,5.3,2.3,6.1,0.0,70.0,212.0,215.3,30.8,2.7,3.2,32.2,2.1,0.2,9.8,5.0,
2018-05-08,Dinner,312.5,4.3,1.9,0.2,2.1,0.0,0.0,0.3,481.8,22.9,2.5,3.6,45.4,0.0,35.0,1.6,4.7,
2018-05-08,Snacks,577.5,19.5,2.5,3.9,9.3,0.0,0.0,642.4,693.0,73.4,8.7,28.0,23.3,1.0,9.0,22.4,9.2,
2018-05-09,Breakfast,255.5,11.2,3.3,0.5,0.4,0.0,0.0,707.0,443.0,9.7,1.7,1.7,29.2,0.0,1668.0,0.6,17.2,
2018-05-09,Snacks,529.0,18.9,2.4,3.9,9.3,0.0,0.0,547.4,693.0,64.8,7.6,27.2,21.1,1.0,9.0,22.4,9.2,
2018-05-12,Breakfast,255.9,14.6,5.7,0.4,1.0,0.0,0.0,756.9,443.0,13.6,2.3,1.7,17.3,0.0,1668.0,0.6,17.2,
2018-05-12,Lunch,327.1,5.4,2.0,0.1,1.9,0.0,0.0,23.2,221.2,28.8,3.3,2.4,42.1,8.4,103.6,2.8,2.1,
2018-05-12,Snacks,391.0,4.9,1.4,0.4,0.3,0.0,0.0,547.4,493.0,72.4,7.3,39.8,16.9,1.0,117.0,14.4,3.2,
2018-05-14,Breakfast,486.0,19.2,3.2,0.4,0.1,0.0,0.0,132.4,345.0,60.6,6.9,33.7,17.6,100.0,1668.0,33.4,2.2,
2018-05-14,Lunch,331.3,7.2,3.3,0.1,1.9,0.0,0.0,23.1,221.2,25.7,4.0,2.4,43.4,8.4,103.6,2.8,2.1,
2018-05-14,Dinner,442.3,18.5,3.2,0.0,0.0,0.0,0.0,130.3,0.0,36.0,6.6,3.0,29.7,0.0,0.0,0.0,0.0,
2018-05-14,Snacks,638.0,19.5,2.5,3.9,9.3,0.0,0.0,687.4,693.0,86.3,10.5,41.0,23.7,1.0,117.0,22.4,9.2,
2018-05-15,Breakfast,341.3,15.9,6.1,0.6,1.6,0.0,0.0,756.9,443.0,14.0,2.3,2.1,35.4,100.0,1668.0,0.6,17.2,
2018-05-15,Lunch,439.7,13.6,2.7,2.4,5.1,0.0,70.0,290.1,215.3,36.0,2.0,8.6,41.1,2.1,0.2,25.0,5.0,
2018-05-15,Dinner,361.0,14.3,3.8,0.0,0.0,0.0,0.0,75.0,481.8,27.2,5.2,2.8,29.3,3.6,35.0,7.6,4.7,
2018-05-15,Snacks,572.0,12.8,2.7,2.4,4.4,0.0,0.0,492.5,493.0,80.9,9.7,48.1,21.0,1.0,117.0,27.2,5.2,
2018-05-16,Breakfast,321.1,15.7,6.1,0.6,1.5,0.0,0.0,586.9,345.0,13.2,1.7,1.5,32.0,100.0,1668.0,0.6,2.2,
2018-05-16,Lunch,813.7,23.4,13.6,0.0,0.0,0.0,0.0,325.7,796.2,60.8,8.5,8.8,25.7,8.4,103.6,58.8,20.1,
2018-05-16,Dinner,280.1,12.1,2.2,2.3,5.0,0.0,70.0,218.0,215.3,10.5,4.9,5.0,32.8,2.1,52.9,9.2,5.0,
2018-05-16,Snacks,347.0,12.1,2.7,2.4,4.4,0.0,0.0,547.5,345.0,42.1,2.3,12.7,18.4,0.0,1.0,13.4,2.2,
2018-05-17,Breakfast,292.0,11.6,3.5,0.5,0.5,0.0,0.0,754.5,443.0,14.0,2.3,2.1,32.8,100.0,1668.0,0.6,17.2,
2018-05-17,Lunch,714.6,10.1,2.2,0.2,0.1,0.0,0.0,285.5,1237.0,85.0,11.1,34.3,21.2,1.0,137.0,19.8,3.0,
2018-05-17,Dinner,433.9,12.7,7.5,0.7,0.4,0.2,0.0,650.2,544.6,26.9,2.1,4.9,54.2,0.0,39.5,29.8,5.3,
2018-05-17,Snacks,404.0,11.7,3.2,2.2,3.3,0.0,0.0,660.4,345.0,60.6,1.2,20.0,18.2,0.0,1.0,26.1,2.2,
2018-05-18,Breakfast,677.2,28.9,8.9,0.5,2.3,0.0,0.0,150.6,481.0,87.6,13.0,58.4,16.4,101.0,1699.5,15.1,5.6,
2018-05-18,Lunch,373.1,13.1,2.5,2.3,5.0,0.0,70.0,241.2,436.5,28.8,3.0,4.5,34.8,10.5,103.8,12.0,7.1,
2018-05-18,Snacks,313.0,5.1,1.4,0.4,0.3,0.0,0.0,492.4,345.0,52.9,3.9,32.7,16.1,0.0,109.0,26.1,2.2,
2018-05-21,Breakfast,292.0,11.6,3.5,0.5,0.5,0.0,0.0,754.5,443.0,14.0,2.3,2.1,32.8,100.0,1668.0,0.6,17.2,
2018-05-21,Lunch,386.9,10.0,3.4,4.0,0.3,0.0,0.0,282.3,796.2,30.4,9.5,10.2,43.3,281.2,108.7,4.9,3.1,
2018-05-21,Dinner,498.7,4.9,1.2,0.2,1.2,0.0,0.0,562.1,120.0,22.2,7.1,10.8,40.8,0.0,71.8,0.8,0.1,
2018-05-21,Snacks,529.0,22.2,9.7,2.2,3.3,0.0,0.0,660.4,345.0,60.7,1.2,20.0,25.8,0.0,1.0,54.1,2.2,
2018-05-22,Breakfast,459.1,19.7,7.8,0.8,2.3,0.0,0.0,165.6,657.0,57.0,5.8,28.9,12.4,109.6,1776.0,17.4,3.2,
2018-05-22,Lunch,591.3,27.8,14.2,1.2,4.0,0.0,0.0,561.9,740.1,37.9,5.4,5.6,48.9,336.4,9.2,31.8,3.4,
2018-05-22,Dinner,358.9,5.8,1.5,1.4,1.6,0.0,85.0,102.2,523.9,37.4,4.8,6.1,38.5,8.8,103.6,4.9,9.1,
2018-05-22,Snacks,316.0,5.3,1.4,0.4,0.3,0.0,0.0,492.4,493.0,58.3,4.5,33.4,14.7,1.0,9.0,27.1,3.2,
2018-05-23,Breakfast,226.0,7.0,2.2,0.5,0.5,0.0,0.0,554.5,443.0,14.0,2.3,2.1,26.4,100.0,1668.0,0.6,17.2,
2018-05-23,Lunch,648.8,24.6,8.6,3.2,7.9,0.0,70.0,233.9,273.1,59.6,9.0,17.6,44.8,3.9,12.2,10.0,5.8,
2018-05-23,Dinner,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
